iid,gender,condtn,match,age,field,field_cd,race,imprace,imprelig,income,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum
1,0,1,0,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,0,1,0,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,0,1,1,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,0,1,1,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,0,1,1,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,0,1,0,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,0,1,0,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,0,1,0,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,0,1,1,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
1,0,1,0,21,Law,1,4,2,4,"69,487.00",7,1,lawyer,,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,2
2,0,1,0,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
2,0,1,0,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
2,0,1,0,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
2,0,1,1,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
2,0,1,0,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
2,0,1,0,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
2,0,1,0,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
2,0,1,0,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
2,0,1,1,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
2,0,1,0,24,law,1,2,2,5,"65,929.00",5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
3,0,1,0,25,Economics,2,2,8,4,,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
3,0,1,0,25,Economics,2,2,8,4,,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
3,0,1,0,25,Economics,2,2,8,4,,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
3,0,1,0,25,Economics,2,2,8,4,,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
3,0,1,0,25,Economics,2,2,8,4,,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
3,0,1,0,25,Economics,2,2,8,4,,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
3,0,1,0,25,Economics,2,2,8,4,,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
3,0,1,0,25,Economics,2,2,8,4,,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
3,0,1,0,25,Economics,2,2,8,4,,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
4,0,1,0,23,Law,1,2,1,1,"37,754.00",5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
4,0,1,0,23,Law,1,2,1,1,"37,754.00",5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
4,0,1,1,23,Law,1,2,1,1,"37,754.00",5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
4,0,1,0,23,Law,1,2,1,1,"37,754.00",5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
4,0,1,0,23,Law,1,2,1,1,"37,754.00",5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
4,0,1,0,23,Law,1,2,1,1,"37,754.00",5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
4,0,1,0,23,Law,1,2,1,1,"37,754.00",5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
4,0,1,1,23,Law,1,2,1,1,"37,754.00",5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
4,0,1,0,23,Law,1,2,1,1,"37,754.00",5,1,lawyer/policy work,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
5,0,1,0,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
5,0,1,0,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
5,0,1,0,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
5,0,1,1,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
5,0,1,0,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
5,0,1,0,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
5,0,1,0,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
